,JobLink,JobTitle,AccountName,JobLocation,JobDescription,JobId,PostDate,titleScore,State,CompanyLink
36,https://www.indeed.com/rc/clk?jk=28a816956db40696&fccid=8d3fa6fb419a77bc,Data Manager,Riverpoint,"Kansas City, KS",Minimum 3 years Data Technology experience to include Enterprise Data and Data Quality tools  Hiring a technical manager to help us develop and execute a data     Easily apply,28a816956db40696,2017-01-25,80,KS,riverpoint.com/
73,https://www.indeed.com/rc/clk?jk=36b3cebedf3e3b6d&fccid=a8aaf8c0c1fa1249,Data & Analytics Manager,Teachers Credit Union,"Chicago, IL",Ensure the availability  definition  access  security and integrity of all organizational data through a comprehensive Data Governance program,36b3cebedf3e3b6d,2017-02-09,80,IL,https://www.tcunet.com/
81,https://www.indeed.com/rc/clk?jk=dff1a4e44af4295e&fccid=dacddaa4d49537d8,"Senior Manager, Data Management",Johnson Controls,"Indianapolis, IN",Manager of Data Governance  Establish the data governance team structure  and provide guidance to data governance managers in establishing data governance for,dff1a4e44af4295e,2017-02-02,80,IN,www.johnsoncontrols.com/
83,https://www.indeed.com/rc/clk?jk=87c4472335f02e59&fccid=9917de3c28f569f6,Manager HR Analytics,Jll,"Chicago, IL",Collaborates with subject matter experts across the HR service areas to promote data governance  and to improve overall strategic and operational performance,87c4472335f02e59,2017-02-03,80,IL,www.us.jll.com/united-states/en-us
85,https://www.indeed.com/rc/clk?jk=142e25de274f3187&fccid=485155ca34f4e0c7,Sr. Manager Data Governance,Intuitive Surgical,"Sunnyvale, CA",Manager Data Governance will be critical in establishing  maintaining  and enhancing processes for data governance representing all product material master data,142e25de274f3187,2017-02-01,95,CA,https://www.intuitivesurgical.com/
88,https://www.indeed.com/rc/clk?jk=1268d63145562ee9&fccid=5e964c4afc56b180,Health Industries Provider Analytics Manager,Pricewaterhousecoopers Llc,"Washington, DC",Our Data and Analytics consultants help clients maximize the value of their data  Applicable sources of external  internal or new data sources to support,1268d63145562ee9,2017-01-18,80,DC,www.pwc.com/us/en/careers.html
103,https://www.indeed.com/rc/clk?jk=1d5e305c0fd6797d&fccid=1d53ef723291fadd,Director of Technology and Data Services/Chief Technology Of...,Esc Region 10,"Richardson, TX",To direct the provision and support of student and finance data systems  To develop or discover and implement innovative software  technology and or services to,1d5e305c0fd6797d,2017-01-26,80,TX,https://www.region10.org/
105,https://www.indeed.com/rc/clk?jk=3352e0bc7356e427&fccid=6c60402abd737dc9,Master Data Management Business Leader (Work at Home),Citizens Bank,,The roles reports into the Data Management organization under the Chief Data Officer and will be responsible for integrating MDM with Salesforce  Anti Money,3352e0bc7356e427,2017-01-19,80,,https://www.citizensbank.com/
112,https://www.indeed.com/rc/clk?jk=e8025b24c1cd73e7&fccid=0c39fb2c91742dcf,"Vice President, CCAR Reporting and Data Analytics",Morgan Stanley,"New York, NY",Work with mainframe and server based loan and data systems in extracting CCAR data and ensuring that data integrity is optimal,e8025b24c1cd73e7,2017-02-06,90,NY,www.morganstanley.com/
114,https://www.indeed.com/rc/clk?jk=df05ca49c6a3e61e&fccid=c46d0116f6e69eae,CCB Risk - Risk Data Management - Vice President,Jpmorgan Chase,"Jersey City, NJ",Assist the CCB Risk Chief Data Officer in special projects as necessary  In addition  the candidate will be the overall business owner of the data management,df05ca49c6a3e61e,2017-02-04,85,NJ,https://www.jpmorganchase.com/
124,https://www.indeed.com/rc/clk?jk=14f9baf3e43e1b74&fccid=8fa4bfbdc107fa5d,Director or Senior Director of Risk Management Analytics,Oportun,"Frisco, TX",Director of Risk Management reports to Oportun   s Chief Credit Officer and leads a team of risk managers responsible for managing credit policy and risk,14f9baf3e43e1b74,2017-01-20,85,TX,www.oportun.com/
128,https://www.indeed.com/rc/clk?jk=d6ddd2a7af11f32f&fccid=82402e8737017edf,Director – Global Enterprise Data & Analytics,Expeditors,"Seattle, WA",Reporting Structure   CIO  Chief Information Officer  Develop controls for data quality and interoperability to effectively manage data integrity and lead the,d6ddd2a7af11f32f,2017-01-18,85,WA,https://www.expeditors.com/
154,https://www.indeed.com/rc/clk?jk=9ae9b40b950ff896&fccid=df184a6d3eecf48a,"Vice President, DFA Risk Management","Dairy Farmers Of America, Inc.","Kansas City, MO",Enjoys working with and interpreting data to extract information and make decisions  Candidate will be the chief compliance officer for our commodity hedging,9ae9b40b950ff896,2017-01-28,80,MO,www.dfamilk.com/
187,https://www.indeed.com/rc/clk?jk=8fd43e443494909d&fccid=c18ccf157b36e485,"Chief Data Officer-Director, Agency Operations-16226708UCDO",County Of San Diego,"San Diego, CA",CHIEF DATA OFFICER  The Health   Human Services Agency  HHSA  of the County of San Diego is seeking online applications and r  sum  s from qualified individuals,8fd43e443494909d,2017-01-28,100,CA,www.sandiegocounty.gov/
